,Australia,England,New Zealand,Pakistan,West Indies,India,Sri Lanka,South Africa,Zimbabwe,Bangladesh,Ireland,Canada,Scotland,Afghanistan,Netherlands,East Africa,U.A.E.,Kenya,Namibia
2008-06-28,38,246,33,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
2008-08-18,38,246,33,35,35,30,22,13,21,8,2,2,1,0,2,1,1,2,1
2008-08-22,38,246,33,35,35,30,22,14,21,8,2,2,1,0,2,1,1,2,1
2008-08-26,38,246,33,35,35,30,22,15,21,8,2,2,1,0,2,1,1,2,1
2008-08-29,38,246,33,35,35,30,22,16,21,8,2,2,1,0,2,1,1,2,1
2008-08-31,38,246,33,35,35,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2008-09-03,38,247,33,35,35,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2008-11-14,38,248,33,35,35,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2008-11-17,38,249,33,35,35,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2008-11-20,38,250,33,35,35,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2008-11-23,38,251,33,35,35,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2008-11-26,38,252,33,35,35,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2009-03-20,38,252,33,35,36,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2009-03-22,38,253,33,35,36,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2009-03-27,38,254,33,35,36,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2009-03-29,38,254,33,35,37,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2009-04-03,38,254,33,35,38,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2009-05-24,38,254,33,35,39,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2009-05-26,38,254,33,35,40,30,22,17,21,8,2,2,1,0,2,1,1,2,1
2009-08-27,38,254,33,35,40,30,22,17,21,8,3,2,1,0,2,1,1,2,1
2009-09-04,38,255,33,35,40,30,22,17,21,8,3,2,1,0,2,1,1,2,1
2009-09-06,38,256,33,35,40,30,22,17,21,8,3,2,1,0,2,1,1,2,1
2009-09-09,38,257,33,35,40,30,22,17,21,8,3,2,1,0,2,1,1,2,1
2009-09-12,38,258,33,35,40,30,22,17,21,8,3,2,1,0,2,1,1,2,1
2009-09-15,38,259,33,35,40,30,22,17,21,8,3,2,1,0,2,1,1,2,1
2009-09-17,38,260,33,35,40,30,22,17,21,8,3,2,1,0,2,1,1,2,1
2009-09-20,39,260,33,35,40,30,22,17,21,8,3,2,1,0,2,1,1,2,1
2009-09-25,39,260,33,35,40,30,23,17,21,8,3,2,1,0,2,1,1,2,1
2009-09-27,39,260,33,35,40,30,23,18,21,8,3,2,1,0,2,1,1,2,1
2009-09-29,39,261,33,35,40,30,23,18,21,8,3,2,1,0,2,1,1,2,1
2009-10-02,39,262,33,35,40,30,23,18,21,8,3,2,1,0,2,1,1,2,1
2009-11-22,39,262,33,35,40,30,23,19,21,8,3,2,1,0,2,1,1,2,1
2009-11-27,39,263,33,35,40,30,23,19,21,8,3,2,1,0,2,1,1,2,1
2009-11-29,39,263,33,35,40,30,23,20,21,8,3,2,1,0,2,1,1,2,1
2010-02-28,39,263,33,35,40,30,23,20,21,9,3,2,1,0,2,1,1,2,1
2010-03-02,39,263,33,35,40,30,23,20,21,10,3,2,1,0,2,1,1,2,1
2010-03-05,39,263,33,35,40,30,23,20,21,11,3,2,1,0,2,1,1,2,1
2010-06-19,39,263,33,35,40,30,23,20,21,11,3,2,2,0,2,1,1,2,1
2010-06-22,40,263,33,35,40,30,23,20,21,11,3,2,2,0,2,1,1,2,1
2010-06-24,41,263,33,35,40,30,23,20,21,11,3,2,2,0,2,1,1,2,1
2010-06-27,42,263,33,35,40,30,23,20,21,11,3,2,2,0,2,1,1,2,1
2010-06-30,42,264,33,35,40,30,23,20,21,11,3,2,2,0,2,1,1,2,1
2010-07-03,42,265,33,35,40,30,23,20,21,11,3,2,2,0,2,1,1,2,1
2010-07-08,42,265,33,35,40,30,23,20,21,12,3,2,2,0,2,1,1,2,1
2010-07-10,42,266,33,35,40,30,23,20,21,12,3,2,2,0,2,1,1,2,1
2010-07-12,42,266,33,35,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2010-09-10,42,266,33,36,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2010-09-12,42,266,33,37,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2010-09-17,42,267,33,37,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2010-09-20,42,268,33,37,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2010-09-22,42,268,33,38,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2011-01-16,42,269,33,38,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2011-01-21,42,270,33,38,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2011-01-23,42,271,33,38,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2011-01-26,43,271,33,38,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2011-01-30,43,272,33,38,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2011-02-02,43,273,33,38,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2011-02-06,43,274,33,38,40,30,23,20,21,13,3,2,2,0,2,1,1,2,1
2011-02-22,43,274,33,38,40,30,23,20,21,13,3,2,2,0,3,1,1,2,1
2011-02-27,43,274,33,38,40,31,23,20,21,13,3,2,2,0,3,1,1,2,1
2011-03-02,43,275,33,38,40,31,23,20,21,13,3,2,2,0,3,1,1,2,1
2011-03-06,43,275,33,38,40,31,23,21,21,13,3,2,2,0,3,1,1,2,1
2011-03-11,43,276,33,38,40,31,23,21,21,13,3,2,2,0,3,1,1,2,1
2011-03-17,43,276,33,38,41,31,23,21,21,13,3,2,2,0,3,1,1,2,1
2011-03-26,43,277,33,38,41,31,23,21,21,13,3,2,2,0,3,1,1,2,1
2011-06-28,43,277,33,38,41,31,24,21,21,13,3,2,2,0,3,1,1,2,1
2011-07-01,43,278,33,38,41,31,24,21,21,13,3,2,2,0,3,1,1,2,1
2011-07-03,43,279,33,38,41,31,24,21,21,13,3,2,2,0,3,1,1,2,1
2011-07-06,43,279,33,38,41,31,25,21,21,13,3,2,2,0,3,1,1,2,1
2011-07-09,43,279,33,38,41,31,26,21,21,13,3,2,2,0,3,1,1,2,1
2011-08-25,43,279,33,38,41,31,26,21,21,13,4,2,2,0,3,1,1,2,1
2011-09-03,43,280,33,38,41,31,26,21,21,13,4,2,2,0,3,1,1,2,1
2011-09-06,43,280,33,38,41,32,26,21,21,13,4,2,2,0,3,1,1,2,1
2011-09-09,43,280,33,38,41,33,26,21,21,13,4,2,2,0,3,1,1,2,1
